tid, template, count
0, 17-x=48/-8, 1
1, x=1+1, 411
2, 60+2*x=12*x+10, 10
3, 42+x/4=52+x/14, 2
4, 7/18*x=7/8*x-770, 2
5, 3/4*x-1/3*x=15, 1
6, 3*x=7+2*x, 18
7, 7*x-5*x=18, 1
8, x+1/x=13/6, 2
9, 60/100*x+x=192, 1
10, x+2=12, 15
11, 0.4/100*x=2.4, 10
12, x*306000=8200, 58
13, 3/5*(x+2)=12, 2
14, 5-3*x=-4, 2
15, 2*x-35=25, 3
16, x=1/0.8, 364
17, 3*x+32=4*x-15, 3
18, 5*(x+9)=39, 12
19, 8+6*x=56, 22
20, 2+2*x=x, 1
21, 4*(x+(x+2))=17+7*(x+4), 1
22, x+(x+1)+(x+2)=-33, 3
23, x+2*(x+1)=20+(x+2), 1
24, x+(x+1)+(x+2)+(x+3)=-54, 2
25, 5*x-16=(x+10)*3, 3
26, 2*x+8=3*(x-4), 2
27, x-1/x=16/15, 1
28, 240/3=x/5, 82
29, x=9*10*10*10*10*10*10*10, 2
30, 4*(x-1)=6*(x+3), 6
31, 16+x=20+2*x, 3
32, x+1/x=6.41, 4
33, x*(1+0.01*x)=24, 3
34, x+7*x=112, 3
35, x=8*9*4, 59
36, x/3+1/x=49/x, 1
37, 1/4*x+1/5*(x+1)=1/7*(x+2)-5, 1
38, x+3=3*x, 2
39, (1+(20-1))*(20-1)/2+x=20*20, 1
40, -5*(x+(x+2))=24+4*(-1*(x+1)), 1
41, x=9*5, 326
42, (1/4)*(1/3)=(1/2)*x, 1
43, x=1+7+7+6+5+4, 3
44, 3*x-4=2+x, 3
45, 2*x-(12-x)=(4*x-5)-2*x, 1
46, x+(x+2)=96, 3
47, -3*(-1*x)-7=1+x, 1
48, x=2004*(1+2004-1), 1
49, 2/3+4*x=5*x-5/6, 1
50, x=5/9*36, 53
51, 5/6*x=3/4, 2
52, 3*x-4*(x+1)+10=0, 1
53, x=9*8+8*8+8*8, 5
54, x=2*(4*3*2*1), 5
55, x*(1/4)=56*16, 1
56, x-1/2=-1/2, 1
